ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,MG,3106200,Capital,Estadual,Urbana,296.762065,288.998744,Masculino,Parda,Outubro,2001,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Norte,PA,1501402,Capital,Estadual,Urbana,136.537233,213.493352,Masculino,Não quero declarar,Abril,2000,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Entre 1 e 2 horas,NA,Continuar estudando e trabalhar
2017,Sudeste,SP,3506003,Interior,Estadual,Urbana,309.527307,256.159934,Masculino,Parda,Março,2003,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Centro-Oeste,MS,5006200,Interior,Municipal,Urbana,264.690455,280.039707,Feminino,Parda,Maio,2003,"Sim, dois","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,SE,2800308,Capital,Estadual,Urbana,296.212343,247.222415,Feminino,Parda,Junho,2001,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sul,PR,4115200,Interior,Estadual,Urbana,214.367462,187.170692,Masculino,Branca,Janeiro,2000,"Sim, um",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Não faço trabalhos domésticos,Não,Ainda não sei
2017,Norte,PA,1500602,Interior,Municipal,Urbana,352.139379,286.651937,Feminino,Amarela,Março,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Mais de 3 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,332.282739,228.926062,Feminino,Preta,Janeiro,2003,"Sim, dois",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,MA,2101251,Interior,Municipal,Rural,211.396056,198.668023,Feminino,Branca,Outubro,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,PE,2600500,Interior,Municipal,Urbana,209.181138,173.298887,Feminino,Branca,Agosto,1998 ou antes,"Sim, um",Não sei,Não sei,"Mais de 2 horas, até 3 horas",Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Norte,PA,1504000,Interior,Municipal,Urbana,219.193916,154.331993,Masculino,Branca,Fevereiro,2001,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,NA
2017,Centro-Oeste,MT,5107602,Interior,Estadual,Urbana,298.127113,239.009373,Feminino,Parda,Junho,2002,"Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3144607,Interior,Estadual,Urbana,219.575713,282.496734,Masculino,Branca,Agosto,2002,Não tem,Não sei,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3170206,Interior,Estadual,Urbana,248.549312,229.490574,Feminino,Parda,Junho,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2918407,Interior,Municipal,Urbana,204.245544,292.357817,Feminino,Parda,Janeiro,2003,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3103504,Interior,Estadual,Urbana,320.24566600000003,247.263161,Feminino,Parda,Outubro,2003,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sul,RS,4310603,Interior,Municipal,Urbana,296.089375,303.721566,Feminino,NA,Dezembro,2002,"Sim, um",Não sei,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Nordeste,PE,2611705,Interior,Municipal,Urbana,274.993906,230.583996,Masculino,Parda,Abril,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Ainda não sei
2017,Nordeste,PI,2207900,Interior,Municipal,Urbana,265.305463,254.346898,Feminino,Branca,Agosto,1998 ou antes,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Nunca estudou,Entre 1 e 2 horas,Mais de 3 horas,Sim,Continuar estudando e trabalhar
2017,Sudeste,SP,3552502,Interior,Estadual,Urbana,334.473582,272.075554,Feminino,Não quero declarar,Julho,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Mais de 3 horas,Não,Somente continuar estudando
2017,Sul,PR,4104659,Interior,Estadual,Urbana,256.67966,265.944892,Masculino,Parda,Julho,2003,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Norte,TO,1720804,Interior,Estadual,Urbana,222.724464,227.130688,Masculino,Não quero declarar,Abril,2001,Não tem,Não sei,Não sei,Menos de 1 hora,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,MT,5108600,Interior,Estadual,Urbana,227.235508,216.949621,Feminino,Branca,Agosto,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Norte,RO,1100403,Interior,Estadual,Urbana,322.2958,236.48399,Feminino,Parda,Agosto,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3553955,Interior,Estadual,Urbana,273.061616,328.645967,Masculino,Branca,Outubro,2002,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Sul,RS,4309001,Interior,Municipal,Urbana,204.885894,275.024768,Feminino,Amarela,Setembro,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,MS,5001904,Interior,Estadual,Urbana,255.4551,265.622281,Masculino,Branca,Fevereiro,2001,"Sim, dois",Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Menos de 1 hora,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sudeste,SP,3555406,Interior,Estadual,Urbana,212.332809,218.411373,Masculino,Parda,Dezembro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Menos de 1 hora,Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Centro-Oeste,MT,5105606,Interior,Estadual,Urbana,293.731379,241.033234,Feminino,Parda,Novembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,"Mais de 2 horas, até 3 horas","Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
2017,Sul,RS,4300802,Interior,Estadual,Rural,311.217351,310.564799,Feminino,Branca,Abril,2002,"Sim, dois","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3519709,Interior,Estadual,Urbana,232.767047,221.782128,Feminino,Parda,Janeiro,2003,Não tem,Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Nordeste,CE,2310209,Interior,Municipal,Urbana,280.230144,220.563563,Masculino,Parda,Janeiro,2003,Não tem,Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
2017,Nordeste,MA,2112209,Interior,Municipal,Urbana,246.976507,201.731035,Feminino,Parda,Maio,2001,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Menos de 1 hora,Menos de 1 hora,Sim,Continuar estudando e trabalhar
2017,Sudeste,MG,3170404,Interior,Municipal,Urbana,222.417649,294.876996,Masculino,Branca,Fevereiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,ES,3200169,Interior,Estadual,Urbana,253.782025,242.044326,Feminino,Parda,Dezembro,2001,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Mais de 3 horas,Não,Somente continuar estudando
2017,Nordeste,RN,2402006,Interior,Estadual,Urbana,327.432319,320.593615,Masculino,Preta,Junho,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3146503,Interior,Estadual,Urbana,265.067514,287.198844,Feminino,Parda,Dezembro,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3525102,Interior,Municipal,Urbana,238.641928,199.964781,Masculino,Branca,Março,2001,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Sudeste,SP,3518800,Interior,Estadual,Urbana,233.557912,252.185598,Masculino,Parda,Fevereiro,2003,"Sim, um",Não sei,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,RN,2412203,Interior,Municipal,Rural,232.252255,207.95308,Feminino,Parda,Junho,2002,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2930154,Interior,Municipal,Rural,231.023728,266.224465,Feminino,Parda,Março,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3107109,Interior,Estadual,Urbana,327.650765,332.052213,Masculino,Parda,Setembro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3143906,Interior,Estadual,Urbana,253.503968,281.683724,Masculino,Parda,Abril,2003,"Sim, dois",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
2017,Sudeste,MG,3106705,Interior,Municipal,Urbana,261.39466,277.751867,Feminino,Parda,Maio,NA,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
